ErrorMessage,LastUpdated,Rows,Status
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 00:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4229}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 00:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4209}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 00:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4150}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 00:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4061}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 01:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4010}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 01:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4000}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 01:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3964}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 01:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3929}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 02:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3905}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 02:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3951}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 02:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3943}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 02:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3925}",Success
,03-Feb-2025 11:15:00,"{'EffectiveTime': '03-Feb-2025 03:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3889}",Success
