ErrorMessage,LastUpdated,Rows,Status
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 11:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5429}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 12:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5450}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 12:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5510}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 13:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5496}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 13:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5446}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 14:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5401}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 14:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5388}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 15:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5337}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 15:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5379}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 16:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5419}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 16:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5593}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 17:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5793}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 17:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 6085}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 18:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 6230}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 18:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 6125}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 19:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 6008}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 19:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5906}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 20:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5748}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 20:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5563}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 21:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5407}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 21:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 5149}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 22:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 4905}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 22:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 4606}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 23:00:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 4468}",Success
,03-Feb-2025 11:05:00,"{'EffectiveTime': '03-Feb-2025 23:30:00', 'FieldName': 'DEMAND_FORECAST_VALUE', 'Region': 'ALL', 'Value': 4375}",Success
