ErrorMessage,LastUpdated,Rows,Status
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 00:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3620}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 00:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3648}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 00:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3676}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 00:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3703}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 01:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3731}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 01:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3725}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 01:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3720}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 01:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3714}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 02:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3708}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 02:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3712}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 02:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3716}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 02:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3720}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 03:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3725}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 03:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3756}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 03:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3788}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 03:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3819}",Success
,03-Feb-2025 06:00:00,"{'EffectiveTime': '03-Feb-2025 04:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3850}",Success
