ErrorMessage,LastUpdated,Rows,Status
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 00:00:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 651}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 00:15:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 727}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 00:30:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 736}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 00:45:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 811}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 01:00:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 831}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 01:15:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 845}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 01:30:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 861}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 01:45:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 856}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 02:00:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 807}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 02:15:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 857}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 02:30:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 862}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 02:45:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 883}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 03:00:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 903}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 03:15:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 912}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 03:30:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 954}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 03:45:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 951}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 04:00:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 967}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 04:15:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 980}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 04:30:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 990}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 04:45:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 1020}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 05:00:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 1004}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 05:15:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 893}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 05:30:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 839}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 05:45:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 748}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 06:00:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 760}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 06:15:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 759}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 06:30:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 770}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 06:45:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 766}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 07:00:00', 'FieldName': 'CO2_EMISSIONS', 'Region': 'ALL', 'Value': 778}",Success
