ErrorMessage,LastUpdated,Rows,Status
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 00:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 151}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 00:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 170}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 00:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 174}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 00:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 195}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 01:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 202}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 01:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 207}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 01:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 215}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 01:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 215}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 02:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 205}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 02:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 216}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 02:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 220}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 02:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 227}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 03:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 237}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 03:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 240}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 03:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 253}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 03:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 252}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 04:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 254}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 04:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 256}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 04:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 261}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 04:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 270}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 05:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 266}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 05:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 235}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 05:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 221}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 05:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 195}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 06:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 198}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 06:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 194}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 06:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 197}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 06:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 194}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 07:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 194}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 07:15:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 196}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 07:30:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 203}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 07:45:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 207}",Success
,02-Feb-2025 23:16:00,"{'EffectiveTime': '02-Feb-2025 08:00:00', 'FieldName': 'CO2_INTENSITY', 'Region': 'ALL', 'Value': 213}",Success
