ErrorMessage,LastUpdated,Rows,Status
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 00:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4314}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 00:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4276}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 00:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4219}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 00:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4162}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 01:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4103}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 01:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4083}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 01:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4011}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 01:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3986}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 02:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3934}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 02:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3962}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 02:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3922}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 02:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3892}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 03:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3813}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 03:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3808}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 03:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3775}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 03:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3777}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 04:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3812}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 04:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3831}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 04:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3792}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 04:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3781}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 05:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3780}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 05:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3810}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 05:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3803}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 05:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3831}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 06:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3846}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 06:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3906}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 06:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3903}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 06:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 3946}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 07:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4004}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 07:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4106}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 07:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4150}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 07:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4254}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 08:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4274}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 08:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4340}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 08:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4396}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 08:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4481}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 09:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4615}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 09:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4740}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 09:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4822}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 09:45:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4892}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 10:00:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 4977}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 10:15:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 5054}",Success
,02-Feb-2025 23:15:00,"{'EffectiveTime': '02-Feb-2025 10:30:00', 'FieldName': 'SYSTEM_DEMAND', 'Region': 'ALL', 'Value': 5119}",Success
