ErrorMessage,LastUpdated,Rows,Status
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 00:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3516}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 00:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3394}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 00:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3272}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 00:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3150}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 01:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3027}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 01:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3016}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 01:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3004}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 01:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2992}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 02:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2980}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 02:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2929}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 02:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2878}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 02:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2827}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 03:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2776}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 03:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2767}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 03:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2759}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 03:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2751}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 04:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2743}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 04:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2753}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 04:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2762}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 04:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2772}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 05:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2782}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 05:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2797}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 05:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2813}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 05:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2828}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 06:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 3042}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 06:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2959}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 06:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2875}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 06:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2792}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 07:00:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2708}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 07:15:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2673}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 07:30:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2637}",Success
,02-Feb-2025 18:00:00,"{'EffectiveTime': '02-Feb-2025 07:45:00', 'FieldName': 'WIND_FCAST', 'Region': 'ALL', 'Value': 2601}",Success
